"id","file","claimedLine","status","actualLocation","finding","evidence","note"
"C11","apps/mobile/src/app/(app)/subscription.tsx","1590","changed","131 (gate definition), 953 (button render-guard)","","L131: const canRemoveFamilyMember = navigationContract.gates.showRemoveFamilyMember;
L953: {canRemoveFamilyMember && !member.isOwner ? (","File is 1331 lines; claimed line 1590 is past EOF (matrix drift). The Remove-family-member button gate still exists and still guards on `!member.isOwner`, but the owner half of the predicate changed: it no longer reads raw `activeProfile.isOwner===true` at the button. Instead the owner check is routed through the navigation contract — `canRemoveFamilyMember = navigationContract.gates.showRemoveFamilyMember` (L131), consumed at the render guard `canRemoveFamilyMember && !member.isOwner` (L953). The raw `activeProfile?.isOwner === true` still exists at L129 (`isOwnerProfile`) but is explicitly documented as covering only non-UI surfaces, not this button. So the gate is intact but its logic/symbols differ from the F5 description's `activeProfile.isOwner===true && !member.isOwner`."
"C12","apps/mobile/src/app/(app)/subscription.tsx","70-77","gone","subscription.tsx: BUG-899 doc block absent (no ""BUG-899"" string anywhere; lines 70-77 are now an import + a JSDoc about ChildPaywall). Cited ""actual gate"" more/index.tsx:71 is also wrong — the tier!=='family'/'pro' predicate lives at more/index.tsx:46 (and subscription.tsx:121), gating useFamilySubscription() enablement, not the upgrade-UI tier filter.","","subscription.tsx:70 `import { useByokJoinedFlag } from './_subscription/_hooks/use-byok-joined-flag';` ; more/index.tsx:46 `subscription?.tier === 'family' || subscription?.tier === 'pro',`","The described entity for C12 was a BUG-899 documentation block with no runtime branch at subscription.tsx:70-77. grep for ""BUG-899"" returns zero matches in the file; lines 70-77 are now an import line plus an unrelated JSDoc comment about SubscriptionContent/ChildPaywall. The doc block is gone. Separately, the description's pointer to the ""actual gate"" at more/index.tsx:71 has drifted: the tier==='family'||tier==='pro' predicate is at more/index.tsx:46, and there it controls whether useFamilySubscription() runs (hook-enable flag), not a filter that hides Family/Pro from the upgrade UI. The same predicate recurs at subscription.tsx:121 for the same hook-enable purpose. No remaining ""hide upgrade UI for family/pro"" runtime branch matching the F10/BUG-899 intent was found at either cited location. Status=gone for the C12 doc-block entity as described."
"C13","apps/mobile/src/app/(app)/subscription.tsx","649,653,661","moved","129 (declaration: isOwnerProfile = activeProfile?.isOwner === true); analytics tag uses at 137 and 145","","const isOwnerProfile = activeProfile?.isOwner === true;  // line 129; track('subscription_breakdown_mounted', { is_owner: isOwnerProfile, ... })  // line 144-145","The raw `activeProfile?.isOwner === true` read still exists as the analytics-driving fact (not a UI gate), confirming the matrix description and F6. It is declared once at line 129 as `isOwnerProfile`, with a leading comment (""Account-identity fact: drives analytics ..."") and is emitted as the `is_owner` analytics property at lines 137 (breakdownAnalytics) and 145 (track('subscription_breakdown_mounted')). The claimed lines 649/653/661 now point at unrelated code: the ChildPaywall `quotaKind` daily-vs-monthly logic and its `</ChildPaywall>`-block return. So the gate moved earlier in the file (refactor pulled the owner read up to the hook-ordering block ~line 129). Logic is unchanged; only line numbers drifted. UI gating in this file now flows through navigationContract.gates.showBilling (line 130) / showRemoveFamilyMember (line 131), consistent with the matrix noting this isOwner read covers non-UI/analytics surfaces only."
"C14","apps/mobile/src/app/(app)/mentor-memory.tsx","217-218","moved","229-230","","const consentStatus = profile?.memoryConsentStatus ?? 'pending';
const memoryEnabled = consentStatus === 'granted';","Gate logic unchanged: reads profile.memoryConsentStatus into consentStatus (default 'pending'), derives memoryEnabled = consentStatus === 'granted'. Same symbols and same derivation described in the row. Only the line number drifted: now at 229-230, ~12 lines below the claimed 217-218 (file is 821 lines, so claim was in-file but stale). Downstream gates confirm usage: consentStatus/memoryEnabled referenced at lines 391, 409, 417, 422, 442."
"C15","apps/mobile/src/app/(app)/mentor-memory.tsx","233","moved","248-253 (canEnter check at 249; Redirect at 253)","","? !navigationContract.canEnter('mentor-memory') ... if (blocked) { return <Redirect href=""/(app)/home"" />; }","Gate exists with same intent and reads via the contract, not raw isParentProxy — matches the description. Claimed line 233 is wrong; file is 821 lines (claimed line is not past EOF here, but the gate sits lower). The proxy redirect now lives at lines 248-253: a `blocked` const that reads `navigationContract.canEnter('mentor-memory')` when MODE_NAV_V1_ENABLED, falling back to `navigationContract.isParentProxy` when V1 is off (still through the contract object), then `if (blocked) return <Redirect href=""/(app)/home"" />` at 253. The exact `canEnter('mentor-memory')` predicate from the description is the V1 branch at line 249. Drift: the description omits the V0-off fallback branch and the FEATURE_FLAGS.MODE_NAV_V1_ENABLED conditional, but the core gate (contract-driven proxy redirect to /home) is intact, so this is moved rather than changed."
"C16","apps/mobile/src/app/(app)/mentor-memory.tsx","366-372,410","moved","Pending-copy role-aware branch: 391-402; adult-owner consent prompt (MemoryConsentPrompt) visibility: 442; isOwnerSelf=navigationContract.gates.sessionIsOwner: 68 (useNavigationContract: 61)","","isOwnerSelf ? t('session.mentorMemory.status.pendingOwner') : t('session.mentorMemory.status.pendingChild')  /* L400-402 */ ;  {consentStatus === 'pending' && isOwnerSelf && ( <MemoryConsentPrompt ... /* L442 */","Both gates exist with the same logic/symbols but at shifted lines. (1) The role-aware pending copy is the ternary at lines 391-402 (reads consentStatus, then isOwnerSelf to pick pendingOwner vs pendingChild) — NOT 366-372 (now a SectionList comment + ScrollView open tag). (2) The adult-owner consent prompt is the MemoryConsentPrompt gated by `consentStatus === 'pending' && isOwnerSelf` at line 442 — NOT 410 (now an unrelated useMemoryDisabledHint Text inside the toggle row). isOwnerSelf is derived from navigationContract.gates.sessionIsOwner at line 68 (the cited ""61"" is where useNavigationContract() is called; the gate field itself is 68). Logic matches description; only line numbers drifted."
"C17","apps/mobile/src/app/(app)/mentor-memory.tsx","469","moved","501 (the `!isOwnerSelf ?` branch, rendering the badge at 501-508; `isOwnerSelf` defined at line 68)","","{!isOwnerSelf ? (
  <Text testID=""accommodation-set-by-parent"" ...>{t('session.mentorMemory.accommodation.setByParent')}</Text>","Gate still exists with identical logic and intent: `!isOwnerSelf` branches UX copy to show the ""Set by parent"" attribution badge (setByParent i18n key, testID accommodation-set-by-parent) — a copy branch, not a visibility gate, exactly as described. It moved from claimed line 469 to line 501. Claimed line 469 now lands inside an unrelated onDecline consent handler (`grantConsent.mutateAsync({ consent: 'declined' })`). Note `isOwnerSelf` itself is now derived from `navigationContract.gates.sessionIsOwner` (line 68) rather than a raw isOwner prop, but the branching predicate at the gate site is still `!isOwnerSelf`, so the row's described logic is intact. F7 association unaffected."
"C18","apps/mobile/src/app/(app)/progress/index.tsx","729-731","moved","345-347","","const isParentProxyView = FEATURE_FLAGS.MODE_NAV_V1_ENABLED ? navigationContract.isParentProxy : role === 'impersonated-child';","Gate exists with identical logic to the description: V1 reads navigationContract.isParentProxy, V0 falls back to role === 'impersonated-child', stored in isParentProxyView. It now lives at lines 345-347, not the claimed 729-731. Claimed range 729-731 is an unrelated isViewingSelf ""saved"" Pressable block. isParentProxyView is consumed downstream at the header title (369), scope decision (381, 459), matching the ""discriminator for progress header / picker rendering"" purpose. File is 781 lines, so 729-731 is in-file but wrong; this is a move, not a content change."
"C19","apps/mobile/src/app/(app)/child/[profileId]/_layout.tsx","12,41","moved","import at line 2; wrapper opens at line 19 and closes at line 49","","<RequireFamilyContext route=""child/[profileId]"" params={{ profileId }}>","The core gate — wrapping <Stack> in <RequireFamilyContext> — still exists, but NOT at claimed lines 12/41. Line 12 is now `profileId?: string | string[];` (params type) and line 41 is `getId={({ params }) => params?.subjectId}`. The actual wrapper is at lines 19 (open) and 49 (close), import at line 2; the file is only 51 lines so line 41 still exists but no longer points at the gate. Caveat on the associated finding F8: the described `setMode('family')` side effect in RequireFamilyContext.tsx:45 is GONE — that file now carries an explicit comment (line 14) stating the guard 'must NOT silently call setMode() or navigate the user.' So the membership guard is confirmed-but-moved, while the side-effect half of the description is stale."
"C20","apps/mobile/src/app/(app)/child/[profileId]/index.tsx","432-441","moved","434-443 (consentStatus=434; hasConsentRecord block 435-439; gate `if (!hasConsentRecord) return null;` at 441; isWithdrawn at 443)","","const hasConsentRecord =
  consent.isLoading || consent.isError || consentStatus === 'CONSENTED' || consentStatus === 'WITHDRAWN';","Gate still exists with identical logic (hasConsentRecord, isWithdrawn, CONSENTED/WITHDRAWN string checks, data-display gate via `if (!hasConsentRecord) return null;`). Everything shifted down ~2 lines vs the claim. Claim mapped consentStatus to 432 but it's at 434; CONSENTED/WITHDRAWN checks claimed at 436-437/441 are now at 438-439; the gate return-null is at 441 (claim assumed 441 was a WITHDRAWN check). File is 1029 lines so no off-EOF issue here; just a small downward drift. F2 association intact."
"C21","apps/mobile/src/app/(app)/own-learning.tsx","32-35","confirmed","32-35 (resolveTabShape at 32; guard predicate at 33; Redirect at 34)","","const tabShape = resolveTabShape({ activeProfile, profiles, isParentProxy });
  if (!familyCapable && tabShape !== 'guardian') {","Gate confirmed exactly at the claimed lines. Line 32 calls resolveTabShape({activeProfile,profiles,isParentProxy}); line 33 guards `!familyCapable && tabShape !== 'guardian'`; lines 34-35 return <Redirect href=""/(app)/home"" /> — the canEnter('own-learning') analogue for non-guardian, non-family-capable profiles (BUG-135 comment at 24-31 documents intent). Minor non-drift detail: resolveTabShape is now imported from '../../lib/legacy-navigation-contract' (line 6), not the main navigation-contract module — but the symbol, predicate, and line numbers all still match the row description, so this is confirmed rather than changed."
"C22","apps/mobile/src/app/(app)/dictation/_layout.tsx","63","moved","67-73 (gate logic 67-69, redirect 71-73); useNavigationContract() acquired at line 63","","const blocked = FEATURE_FLAGS.MODE_NAV_V1_ENABLED
    ? !navigationContract.canEnter('dictation')","File is 86 lines; claimed line 63 holds `const navigationContract = useNavigationContract();` (hook acquisition), not the gate itself. The actual canEnter('dictation') gate lives at lines 67-69 with the Redirect to /(app)/home at 71-73. Gate logic matches the description: it gates dictation entry via canEnter('dictation') under MODE_NAV_V1_ENABLED, and the V0 fallback reads navigationContract.isParentProxy (the ""mode/proxy"" read). Same gate, same canEnter('dictation') symbol — just shifted past the cited line. Associated finding F11 (V0/V1 canEnter fallback divergence) is visibly the subject of the inline comment at lines 65-66."
"C23","apps/mobile/src/app/(app)/homework/_layout.tsx","9","moved","12-18 (gate logic); canEnter call at line 13, isParentProxy V0 fallback at line 14, Redirect at 16-18","","const blocked = FEATURE_FLAGS.MODE_NAV_V1_ENABLED ? !navigationContract.canEnter('homework') : navigationContract.isParentProxy;","Claimed line 9 is blank (file is only 28 lines). The gate still exists with the same intent — blocks homework entry and redirects to /home. It reads mode/proxy via useNavigationContract(): V1 path calls canEnter('homework') (line 13), V0 fallback reads isParentProxy (line 14); blocked → Redirect to /(app)/home (lines 16-18). Logic now routes through the navigation contract with a V0/V1 feature-flag branch (FEATURE_FLAGS.MODE_NAV_V1_ENABLED, line 12), consistent with the described 'reads: mode/proxy → gates canEnter(homework)'. Pure line shift, no logic change vs description, so 'moved' rather than 'changed'."
"C24","apps/mobile/src/app/(app)/session/_layout.tsx","9","changed","17-21 (canEnter gate); line 18 is the canEnter('session') call","","const blocked = FEATURE_FLAGS.MODE_NAV_V1_ENABLED
    ? !navigationContract.canEnter('session')","Claimed line 9 is now `const { t } = useTranslation();`, not the gate. The canEnter('session') gate exists but moved to lines 17-21 and its logic CHANGED: instead of a direct mode/proxy read, it now resolves through `useNavigationContract()` (line 11) and is feature-flag branched — V1-on uses `!navigationContract.canEnter('session')`, V1-off falls back to the legacy `navigationContract.isParentProxy` check (lines 17-19). On block it renders `<ExplainedRedirect href=""/(app)/home"" testID=""session-proxy-fallback"">` (lines 21-32). Mode/proxy state is still what's effectively read, but via the contract abstraction plus a flag branch, so this is more than a simple line move."
"C25","apps/mobile/src/app/(app)/quiz/_layout.tsx","118","moved","121-123 (gate logic); canEnter('quiz') call on line 122; redirect on 125-127. Line 118 now holds `useNavigationContract()`.","","const blocked = FEATURE_FLAGS.MODE_NAV_V1_ENABLED
    ? !navigationContract.canEnter('quiz')","The canEnter('quiz') gate still exists but moved from line 118 to 121-123 (file is 140 lines, so 118 is in-bounds — it points at `const navigationContract = useNavigationContract();`). Logic is now flag-split: when MODE_NAV_V1_ENABLED it blocks on `!navigationContract.canEnter('quiz')`; when V1 is off it falls back to `navigationContract.isParentProxy` (the V0 preserve-behavior path, cited as H5.1). The ""mode/proxy"" reads are now abstracted behind `useNavigationContract()` rather than read directly, so there's mild drift toward the contract pattern, but the gated element (canEnter('quiz') → Redirect to /home) matches the description. F11 association intact."
"C26","apps/mobile/src/app/(app)/practice/index.tsx","441","moved","444-450 (canEnter('practice') call at 445; redirect block at 448-450)","","const blocked = FEATURE_FLAGS.MODE_NAV_V1_ENABLED ? !navigationContract.canEnter('practice') : navigationContract.isParentProxy;","File exists (1000 lines), so claimed line 441 is in-bounds but lands on a blank line, not the gate. The canEnter('practice') gate is alive and still gates entry (Redirect to /home when blocked), now at 444-450. It reads through a navigationContract object behind a V1/V0 flag branch: V1-on uses !navigationContract.canEnter('practice'); V0-off uses navigationContract.isParentProxy (the mode/proxy read cited for this row). Same gating intent and same canEnter symbol as described, just relocated and wrapped in the MODE_NAV_V1_ENABLED conditional — classified 'moved' rather than 'changed' since canEnter('practice') and the proxy fallback both match the row's reads/gates. F11."
"C27","apps/mobile/src/app/(app)/session/index.tsx","1109","changed","1193 (value derived at line 185 via useNavigationContract())","","isOwner: navigationContract.gates.sessionIsOwner,","The sessionIsOwner gate still exists and feeds actionProps.isOwner, but its logic/source changed: it is no longer a direct `isOwner` read. It now comes from `navigationContract.gates.sessionIsOwner`, where `navigationContract = useNavigationContract()` (line 185). So the gating is now contract-driven rather than reading a local isOwner variable. It also moved off the claimed line 1109 (now 1193) — the only `isOwner`/`sessionIsOwner` reference in the file. Classified ""changed"" (reads via contract) over ""moved"" because the data source predicate differs from the description's ""reads: isOwner""."
"C28","apps/mobile/src/lib/profile.ts","42-48","confirmed","42-53 (signature 42-48, predicate body 49-52)","","export function isFamilyCapableProfile(
  ...
  if (computeAgeBracket(activeProfile.birthYear) !== 'adult') return false;","isFamilyCapableProfile() predicate is present and intact. Reads exactly match the description: activeProfile.id/isOwner/birthYear and profiles[].isOwner (via p.id !== activeProfile.id && p.isOwner === false). The function declaration begins at the claimed line 42; the claimed end (48) is the signature's closing `): boolean {` line, so the cited range covers the signature but the predicate logic runs to line 52 (function closes at 53). Logic unchanged: requires isOwner, adult age bracket via computeAgeBracket(birthYear), and at least one non-owner in profiles[]. Treating as confirmed since the claimed start line still points at the gate; the only drift is the claimed range stopping at the signature rather than spanning the body."
"C29","apps/mobile/src/lib/app-context.tsx","52","moved","59 (modeOverride useState); final mode derived at 93-97","","const [modeOverride, setModeOverride] = useState<AppMode | null>(null);","The `modeOverride` React state via `useState<AppMode | null>(null)` exists with identical logic but at line 59, not the claimed line 52. It remains unpersisted (reset to null by the useEffect at lines 82-91 on profile-identity changes). The description's secondary cite ""final mode derived at line 88"" has also drifted: the final `mode` useMemo that combines `modeOverride ?? derivedMode` now lives at lines 93-97 (line 88 is now inside the reset-effect dependency array, `activeProfile?.birthYear`). Gate logic unchanged; only line numbers drifted. File is 183 lines, so the claimed line 52 still points within the file but at the wrong construct."
"C30","apps/mobile/src/lib/app-context.tsx","74-84","moved","82-91 (effect body 83-84; dep array 85-91)","","useEffect(() => { modeRequestSeq.current += 1; setModeOverride(null); }, [ activeProfile?.id, activeProfile?.isOwner, activeProfile?.birthYear, ... ]);","Gate intact: a useEffect clears modeOverride (setModeOverride(null)) whenever the active profile flips, keyed on activeProfile?.id / ?.isOwner / ?.birthYear — matching the C30 description exactly. It now lives at lines 82-91, not the claimed 74-84 (only line 84's setModeOverride(null) coincidentally fell in the old range). The dep array has been EXTENDED beyond id/isOwner/birthYear to also include activeProfile?.defaultAppContext (line 89) and activeProfile?.hasFamilyLinks (line 90), and the effect body now also bumps modeRequestSeq.current (line 83) — additive changes that strengthen the same gate rather than alter its purpose. File is 183 lines total."
"C31","packages/schemas/src/age.ts","53-65","confirmed","53-64","","export function isAdultOwner(profile: AgeGateProfile | null | undefined, currentYear?: number): boolean {","isAdultOwner is the canonical predicate, reading role, isOwner, and birthYear exactly as described. It spans lines 53-64 (function body closes at 64, which is also EOF). Claimed range 53-65 overshoots EOF by one line, but the gate logic still begins at the claimed start line 53 and the off-by-one is just the file ending at 64 with no line 65 — treating as confirmed rather than moved since the gate sits at the claimed start. Logic: returns false unless role is 'owner' (or legacy isOwner===true when role undefined), birthYear is set, and currentYear-birthYear >= 18."
"C32","apps/mobile/src/lib/navigation.ts","106 (+ components/guards/RequireFamilyContext.tsx:45)","gone","n/a — useGuardFamilyRoute() absent from navigation.ts (175 lines); the consumer-side setMode('family') side effect no longer exists in RequireFamilyContext.tsx (123 lines)","","// It must NOT silently call setMode() or navigate the user — mode mutations  (RequireFamilyContext.tsx:14)","Both halves of the described gate are gone. (1) navigation.ts contains NO useGuardFamilyRoute() hook — `rg useGuardFamilyRoute apps/mobile/src` returns zero matches repo-wide. navigation.ts (175 lines, claimed line 106 is in-bounds but unrelated) is now a pure path/href-constants + router-push helper module; line 106 sits inside `pushLearningResumeTarget()` (a BUG-977 type-cast comment block), not a family-route guard. There is no `family`/`guard`/`mode` token anywhere in the file. (2) The consumer-side mode-flip is explicitly eliminated: RequireFamilyContext was refactored under [PARENT-03] into a READ-ONLY guard whose comment (line 14) states it 'must NOT silently call setMode() or navigate the user'. The only `setMode` occurrence in the file is that prohibition comment; line 45 is now the `canRender` branch gating via the navigation contract (contract.canEnter / contract.shape / contract.effectiveAppContext), and mode entry is deferred to explicit user CTA via useEnterFamilyMode(). A repo-wide grep for `setMode('family')` / GuardFamilyRoute variants returns nothing. Finding F8's described mechanism (pure-read hook + consumer-side mode-flip side effect) no longer exists; the gating moved to the navigation-contract model."
