location	specifier	category	basis	reason
apps/api/src/services/progress.test.ts:10	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/recall-bridge.test.ts:20	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/recall-bridge.test.ts:24	./llm	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/retention-data.test.ts:10	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/retention-data.test.ts:12	./retention	service-stub-with-business-logic	exact-override	stubs retention decision helpers with real business rules
apps/api/src/services/retention-data.test.ts:19	./adaptive-teaching	service-stub-with-business-logic	exact-override	stubs adaptive-teaching capacity logic
apps/api/src/services/retention-data.test.ts:26	./xp	service-stub-with-business-logic	exact-override	stubs XP ledger synchronization logic
apps/api/src/services/retention-data.test.ts:30	./sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/sentry.test.ts:17	@sentry/cloudflare	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/session/session-cache.test.ts:16	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/session/session-cache.test.ts:20	../prior-learning	service-stub-with-business-logic	exact-override	stubs prior-learning fetch and summarization logic
apps/api/src/services/session/session-cache.test.ts:29	../retention-data	service-stub-with-business-logic	exact-override	stubs retention preference logic
apps/api/src/services/session/session-cache.test.ts:35	../settings	service-stub-with-business-logic	exact-override	stubs settings-driven learning mode logic
apps/api/src/services/session/session-cache.test.ts:40	../learner-profile	service-stub-with-business-logic	exact-override	stubs learner-profile context building logic
apps/api/src/services/session/session-cache.test.ts:46	../subject	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/session/session-context-builders.test.ts:40	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/snapshot-aggregation.test.ts:13	./celebrations	service-stub-with-business-logic	exact-override	stubs celebration queueing logic
apps/api/src/services/snapshot-aggregation.test.ts:17	./language-curriculum	service-stub-with-business-logic	exact-override	stubs language curriculum progress logic
apps/api/src/services/snapshot-aggregation.test.ts:21	./sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/snapshot-aggregation.test.ts:8	./milestone-detection	service-stub-with-business-logic	exact-override	stubs milestone detection logic
apps/api/src/services/streaks.test.ts:10	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/stripe.test.ts:5	stripe	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/subject-classify.test.ts:13	./sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/subject-classify.test.ts:5	./llm	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/subject-classify.test.ts:9	./subject	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/subject-resolve.test.ts:1	./llm	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/subject.test.ts:10	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/verification-completion.test.ts:14	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/verification-completion.test.ts:16	./evaluate	service-stub-with-business-logic	exact-override	stubs evaluate parsing and SM-2 mapping logic
apps/api/src/services/verification-completion.test.ts:22	./teach-back	service-stub-with-business-logic	exact-override	stubs teach-back parsing and rubric mapping logic
apps/api/src/services/vocabulary-extract.test.ts:5	./llm	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/vocabulary-extract.test.ts:9	./sentry	EXTERNAL	heuristic	mock targets an external SDK or adapter boundary
apps/api/src/services/xp.test.ts:10	@eduagent/database	pure-data-stub	heuristic	mock returns fixtures or constants without crossing a real boundary
apps/api/src/services/xp.test.ts:12	./settings	service-stub-with-business-logic	exact-override	stubs settings-derived XP mode rules
