WI-792	Closed	-	Done	Billing trial-expiry v2 seeder/flag-ON: findExpiredTrialsV2 reads empty v2 subscription
WI-791	Closed	-	Done	database-rls-coverage =ANY($1) query bug (PG17 array-cast rejection)
WI-790	Closed	-	Done	Consent restoreConsent v2 twin (consent-restore-archive flag-ON false-green)
WI-789	Closed	-	Done	Flag-ON committed-migration integration coverage (buildIntegrationEnv) — enabler + WI-586/WP-FLAG close-gate mechanism
WI-788	Closed	-	Done	Main-RED fix A: v2 test-seed must write legacy FK parents on committed-migration DBs (self-inerting post-DROP)
WI-786	Closed	-	Done	Family-access parent-on-behalf — build v2 twin (unbranched-legacy family_links reader)
WI-785	Closed	-	Done	Test-infra: de-flake identity-reseed integration suite (serialize under maxWorkers)
WI-784	Closed	-	Done	Homework-summary Inngest job — build v2 billing twin
WI-780	Closed	-	Done	consent_request missing service-role RLS exceptions (public token lookup + reminder sweep) claimed by MMT-ADR-0020 but not built
WI-779	Ready	Active	-	WP-FLAG — Remove IDENTITY_V2_ENABLED + legacy schema/twins
WI-778	Closed	-	Done	WP-9 — Test-seed: wire /__test/* to test-seed-v2 (unblocks cutover re-run, clears run-smoke)
WI-777	Closed	-	Done	WP-8 — Inngest scans: wire monthly-report-cron + daily-reminder-scan + review-due-scan to v2
WI-776	Closed	-	Done	WP-7 — Billing: wire remaining billing services + build isPersonUnderSubscriptionV2
WI-775	Closed	-	Done	WP-6 — Family: build family-domain v2 twins + guardianship authorization guards
WI-774	Closed	-	Done	WP-5 — Settings + LearnerProfile: build verifyPersonOwnershipV2 + wire settings/learner-profile to v2
WI-773	Closed	-	Done	WP-4 — Deletion + Export: wire deletion.ts + export.ts to v2
WI-772	Closed	-	Done	WP-3 — Consent: wire consent.ts (30+ sites) + consent inngest to consent-v2
WI-771	Closed	-	Done	WP-2 — Core identity: build listProfilesV2 + wire GET /v1/profiles to v2
WI-765	Closed	-	Done	Enumerate the full legacy reader/writer breaking set (+ fold in pre-graph 401 fix)
WI-752	Executing	Active	-	ADR governance correction & re-vetting
WI-586	Closed	-	Done	WP-TAIL-drop-legacy: drop legacy identity tables and readers (clean-cut close)
WI-367	Executing	Active	-	Persist full birth date to enable exact age across all age logic
